NTD ID;Legacy NTD ID;Agency Name;Reporter Acronym;Doing Business As;Reporter Type;Reporting Module;Organization Type;Reported By NTD ID;Reported by Name;Subrecipient Type;FY End Date;Original Due Date;Address Line 1;Address Line 2;P.O. Box;City;State;Zip Code;Zip Code Ext;Region;URL;FTA Recipient ID;DUNS Number;Service Area Sq Miles;Service Area Pop;Primary UZA;UZA Name;Tribal Area Name;Population;Density;Sq Miles;VOMS DO;VOMS PT;Total VOMS;Volunteer Drivers;Personal Vehicles;TAM Tier;Number of State Counties;Number of Counties with Service; State Admin Funds Expended 
00001;0001;King County Department of Metro Transit;KCM;King County Metro;Full Reporter;Urban;City, County or Local Government Unit or Department of Transportation;;;;31/12/2020;30/04/2021;201 S Jackson St;M.S. KSC-TR-0333;;Seattle;WA;98104;3854;10;http://metro.kingcounty.gov/;1731;805622313;2.134;2.260.800;14;Seattle, WA;;3.059.393;3.028;1.010;2.889;482;3.371;;;Tier I (Rail);;;  
00002;0002;Spokane Transit Authority;STA;;Full Reporter;Urban;Independent Public Agency or Authority of Transit Service;;;;31/12/2020;30/04/2021;1230 W Boone Ave;;;Spokane;WA;99201;2658;10;http://www.spokanetransit.com/;1733;060044575;248;442.499;96;Spokane, WA;;387.847;2.362;164;259;56;315;;;Tier I (Fixed Route VOMS);;;  
00003;0003;Pierce County Transportation Benefit Area Authority;;Pierce Transit;Full Reporter;Urban;Independent Public Agency or Authority of Transit Service;;;;31/12/2020;30/04/2021;3701 96Th St Sw;;99070;Tacoma;WA;98499;4431;10;http://www.piercetransit.org/;1730;017850363;292;575.963;14;Seattle, WA;;3.059.393;3.028;1.010;458;56;514;;;Tier I (Fixed Route VOMS);;;  
00004;0T04;Confederated Tribes of the Colville Indian Reservation;;;Reduced Reporter;Tribe;Tribe;;;;30/09/2020;31/01/2021;21 Colville St;;150;Nespelem;WA;99155;;10;http://www.colvilletribes.com/;6683;112167510;;;0;Washington Non-UZA;Colville Reservation and Off-Reservation Trust Land, WA;0;0;0;2;;2;;;Tier II;;;  
00005;0005;City of Everett;ET;Everett Transit System;Full Reporter;Urban;City, County or Local Government Unit or Department of Transportation;;;;31/12/2020;30/04/2021;3201 Smith Ave;;;Everett;WA;98201;4579;10;http://www.everetttransit.org/;1743;155780190;34;111.262;14;Seattle, WA;;3.059.393;3.028;1.010;53;;53;;;Tier II;;;  
00006;0006;City of Yakima;YT;Yakima Transit;Full Reporter;Urban;City, County or Local Government Unit or Department of Transportation;;;;31/12/2020;30/04/2021;129 N 2Nd St;;;Yakima;WA;98901;2613;10;http://www.yakimatransit.org/;1750;017850363;33;100.715;248;Yakima, WA;;129.534;2.165;60;32;26;58;;;Tier II;;;  
00007;0007;Lane Transit District;LTD;;Full Reporter;Urban;Independent Public Agency or Authority of Transit Service;;;;30/06/2020;31/10/2020;3500 E 17Th Ave;;;Eugene;OR;97403;2375;10;http://www.ltd.org/;1738;060588639;482;302.200;151;Eugene, OR;;247.421;2.852;87;83;153;236;;;Tier II;;;  
00008;0008;Tri-County Metropolitan Transportation District of Oregon;;TriMet;Full Reporter;Urban;Independent Public Agency or Authority of Transit Service;;;;30/06/2020;31/10/2020;1800 Sw 1St Ave Ste 300;;;Portland;OR;97201;5354;10;http://www.trimet.org/;1728;007909096;382;1.570.254;24;Portland, OR-WA;;1.849.898;3.528;524;705;277;982;;;Tier I (Rail);;;  
00009;0T09;Kalispel Tribe of Indians;KTI;;Reduced Reporter;Tribe;Tribe;;;;31/12/2020;30/04/2021;1981 N Leclerc Rd;;39;Cusick;WA;99119;9682;10;http://www.kalispeltribe.com/;6680;071836951;;;0;Washington Non-UZA;Kalispel Reservation and Off-Reservation Trust Land, WA;0;0;0;7;;7;;;Tier II;;;  
00010;0T10;Klamath Tribes;KT;;Reduced Reporter;Tribe;Tribe;;;;31/12/2020;30/04/2021;501 Chiloquin Blvd;;436;Chiloquin;OR;97624;6773;10;http://klamathtribes.org/administration/community-services/transportation-program/;6806;161155288;0;0;0;Oregon Non-UZA;Klamath Reservation, OR;0;0;0;6;;6;;;Tier II;;;  
00011;0011;Valley Regional Transit;VRT;;Full Reporter;Urban;Independent Public Agency or Authority of Transit Service;;;;30/09/2020;31/01/2021;700 Ne 2Nd St Ste 100;Suite 100;;Meridian;ID;83642;2672;10;http://www.valleyregionaltransit.org/;1736;139758973;66;338.759;108;Boise City, ID;;349.684;2.613;134;;73;73;;;Tier II;;;  
