ID,2014,2015,2016,2017,2018,2019,2020,2021,2022
01000,4843737,4854803,4866824,4877989,4891628,4907965,5031362,5049846,5074296
01001,54922,54903,55302,55448,55533,55769,58902,59210,59759
01003,199306,203101,207787,212737,218071,223565,233219,239361,246435
01005,26768,26300,25828,25169,24887,24657,24960,24539,24706
01007,22541,22553,22590,22532,22300,22313,22183,22370,22005
01009,57536,57535,57487,57801,57770,57840,59102,59085,59512
01011,10668,10404,10397,10181,10165,10144,10296,10280,10202
01013,20332,20168,20040,19911,19675,19501,19031,18855,18650
01015,115991,115550,115036,114746,114298,114070,116239,115677,115788
01017,33964,33991,33742,33716,33570,33244,34645,34446,34088
01019,25900,25739,25769,25822,26035,26254,24972,25026,25302
01021,43751,43693,43854,44085,44084,44313,45051,45259,45884
01023,13322,13237,13049,12923,12810,12577,12619,12549,12439
01025,24873,24711,24342,24083,23965,23651,22981,22715,22515
01027,13443,13415,13393,13355,13301,13265,14211,14190,14198
01029,15029,14923,14871,14924,15047,14952,15063,15148,15346
01031,50693,51004,51281,51943,52097,52639,53547,54171,54805
01033,54484,54439,54483,54682,54970,55241,57299,57619,58033
01035,12674,12677,12495,12431,12264,12055,11553,11320,11206
01037,11037,10935,10812,10724,10619,10677,10341,10366,10166
01039,37766,37566,37400,37077,36993,37082,37507,37542,37602
01041,13851,13851,13911,13871,13855,13811,13165,13056,13025
01043,81081,81771,82434,82830,83300,83644,88131,89618,90665
01045,49465,49428,49476,49467,49268,49294,49253,49412,49544
01047,41560,40947,40105,39263,38270,37182,38174,37565,36767
01049,70963,71065,71116,71441,71430,71506,71648,71829,71998
01051,80563,80903,81258,81452,81189,81575,87853,88737,89563
01053,37749,37676,37500,37010,36515,36569,36680,36658,36666
01055,103417,103033,102931,103076,102766,102460,103447,103139,103088
01057,16784,16711,16581,16478,16451,16279,16330,16155,16118
01059,31572,31532,31674,31670,31495,31587,32075,31996,31932
01061,26605,26645,26497,26404,26296,26309,26696,26667,26783
01063,8585,8509,8485,8312,8212,8104,7702,7592,7422
01065,15047,15016,14845,14812,14773,14669,14768,14737,14595
01067,17074,17097,17062,17105,17100,17125,17175,17434,17655
01069,104216,104326,104355,104472,104943,106240,107286,107453,108079
01071,52592,52229,52058,51865,51649,51672,52545,52694,52891
01073,660185,660717,660507,659892,659672,658539,674675,669997,665409
01075,14071,13931,13926,13885,13878,13817,13956,13740,13705
01077,93049,92524,92521,92701,92733,93028,94025,94862,95878
01079,33423,33116,33196,33035,32905,32851,33089,33123,33214
01081,154682,157162,159446,161808,164206,165015,174742,177655,180773
01083,90622,91596,92896,94144,96199,99136,104190,107381,110900
01085,10497,10350,10245,10100,9969,9726,10273,9926,9777
01087,19670,19331,19077,18828,18320,18065,19473,18906,18516
01089,349973,353194,356985,362061,367386,372547,390502,396593,403565
01091,19990,19772,19536,19411,19093,18919,19266,18961,18745
01093,30215,30137,29958,29825,29776,29826,29166,29006,29156
01095,94262,94588,95123,95589,96230,96751,97696,98316,99423
01097,414298,414654,415169,414209,414275,413516,414353,413017,411411
01099,21927,21720,21553,21294,21035,20689,19704,19557,19404
01101,227647,227420,227398,227514,226631,226074,228322,226953,226361
01103,119496,119316,119090,118940,119216,119630,123288,123403,124211
01105,9809,9650,9538,9304,9049,8940,8458,8317,8035
01107,20283,20788,20337,20224,19949,19940,18922,18615,18697
01109,33217,33518,33540,33441,33390,33034,32906,32740,33014
01111,22362,22603,22515,22702,22742,22781,22092,22199,22479
01113,59310,58946,58290,57134,57933,58098,59259,58668,58555
01115,86014,86569,87342,87985,88842,89735,91652,92903,93932
01117,206346,209047,211538,213854,215877,218176,223881,227428,230115
01119,13276,13212,12973,12756,12661,12358,12196,11961,11853
01121,81550,81168,80598,80192,80219,80226,81428,80483,80704
01123,40898,40628,40607,40624,40550,40337,41286,41132,40977
01125,203228,204953,206737,207849,208607,210321,231534,235668,236780
01127,65354,64950,64559,63929,63701,63680,65132,64629,64339
01129,16868,16831,16607,16484,16336,16279,15327,15234,15122
01131,10950,10900,10860,10704,10592,10396,10432,10331,10059
01133,24141,23929,23911,23753,23690,23700,23488,23672,23755
02000,737075,738430,742575,740983,736624,733603,732923,734182,733583
02013,3347,3373,3354,3445,3391,3355,3425,3424,3398
