STATE,COUNTY,2020,2021,2022
01,000,5031362,5049846,5074296
01,001,58902,59210,59759
01,003,233219,239361,246435
01,005,24960,24539,24706
01,007,22183,22370,22005
01,009,59102,59085,59512
01,011,10296,10280,10202
01,013,19031,18855,18650
01,015,116239,115677,115788
01,017,34645,34446,34088
01,019,24972,25026,25302
01,021,45051,45259,45884
01,023,12619,12549,12439
01,025,22981,22715,22515
01,027,14211,14190,14198
01,029,15063,15148,15346
01,031,53547,54171,54805
01,033,57299,57619,58033
01,035,11553,11320,11206
01,037,10341,10366,10166
01,039,37507,37542,37602
01,041,13165,13056,13025
01,043,88131,89618,90665
01,045,49253,49412,49544
01,047,38174,37565,36767
01,049,71648,71829,71998
01,051,87853,88737,89563
01,053,36680,36658,36666
01,055,103447,103139,103088
01,057,16330,16155,16118
01,059,32075,31996,31932
01,061,26696,26667,26783
01,063,7702,7592,7422
01,065,14768,14737,14595
01,067,17175,17434,17655
01,069,107286,107453,108079
01,071,52545,52694,52891
01,073,674675,669997,665409
01,075,13956,13740,13705
01,077,94025,94862,95878
01,079,33089,33123,33214
01,081,174742,177655,180773
01,083,104190,107381,110900
01,085,10273,9926,9777
01,087,19473,18906,18516
01,089,390502,396593,403565
01,091,19266,18961,18745
01,093,29166,29006,29156
01,095,97696,98316,99423
01,097,414353,413017,411411
01,099,19704,19557,19404
01,101,228322,226953,226361
01,103,123288,123403,124211
01,105,8458,8317,8035
01,107,18922,18615,18697
01,109,32906,32740,33014
01,111,22092,22199,22479
01,113,59259,58668,58555
01,115,91652,92903,93932
01,117,223881,227428,230115
01,119,12196,11961,11853
01,121,81428,80483,80704
01,123,41286,41132,40977
01,125,231534,235668,236780
01,127,65132,64629,64339
01,129,15327,15234,15122
01,131,10432,10331,10059
01,133,23488,23672,23755
02,000,732923,734182,733583
02,013,3425,3424,3398
02,016,5222,5155,5122
02,020,290866,288702,287145
02,050,18673,18599,18257
02,060,829,841,865
02,063,7077,6943,6874
02,066,2616,2611,2589
02,068,1614,1594,1585
02,070,4835,4774,4723
02,090,95328,95528,95356
02,100,2086,2074,2056
02,105,2362,2339,2287
02,110,32202,31965,31685
02,122,58927,59851,60690
02,130,13918,13810,13741
02,150,13047,12864,12720
02,158,8373,8398,8278
02,164,1452,1419,1381
02,170,107515,111059,113325
02,180,10028,9908,9835
02,185,11002,11011,10805
02,188,7790,7560,7423
02,195,3405,3373,3360
02,198,5739,5734,5650
02,220,8425,8410,8382
02,230,1240,1142,1081
02,240,6820,7005,7021
02,275,2127,2100,2070
02,282,684,709,700
02,290,5296,5280,5179
04,000,7179943,7264877,7359197
04,001,65911,65385,65432
04,003,125522,125763,125663
04,005,145180,142780,144060
04,007,53351,53521,53922
04,009,38638,38882,38779
04,011,9526,9377,9302
04,012,16575,16391,16506
04,013,4440232,4494693,4551524
04,015,214176,216957,220816
04,017,106762,107621,108650
04,019,1045175,1048895,1057597
04,021,429446,448144,464154
04,023,47705,48034,48759
04,025,237216,242193,246191
04,027,204528,206241,207842
05,000,3014195,3028122,3045637
05,001,17107,16683,16512
05,003,18962,18649,18354
05,005,41687,42171,42435
05,007,286586,294337,302863
05,009,37383,37890,38284
05,011,10488,10332,10135
05,013,4738,4737,4695
05,015,28242,28480,28742
05,017,10157,10071,9873
05,019,21387,21217,21250
05,021,14528,14370,14265
05,023,24696,25044,25284
05,025,7550,7490,7467
05,027,22742,22510,22216
05,029,20729,20911,21046
05,031,111603,111788,113017
05,033,60147,60423,61075
05,035,48086,47475,47061
05,037,16796,16693,16601
05,039,6442,6306,6191
05,041,11320,11050,10771
05,043,17314,17070,16911
05,045,123811,125645,127665
05,047,17135,17166,17271
05,049,12057,12156,12382
05,051,100249,100386,100089
05,053,18022,18149,18160
05,055,45864,46349,46448
05,057,19981,19679,19453
05,059,33075,33108,33203
05,061,12755,12676,12557
05,063,37936,37742,37945
05,065,13597,13928,14048
05,067,16755,16780,16624
05,069,66833,65649,64246
05,071,25722,25977,26001
05,073,6299,6155,6101
05,075,16212,16316,16205
05,077,8528,8559,8364
05,079,12889,13151,12916
05,081,11975,11954,11821
05,083,21103,21207,21253
05,085,74046,74766,75225
05,087,16546,16936,17486
05,089,16877,16970,17254
05,091,42579,42499,42552
05,093,40544,39577,38896
05,095,6774,6660,6564
05,097,8488,8638,8556
05,099,8285,8195,8181
05,101,7193,7164,7078
05,103,22614,22344,22049
05,105,10000,9989,10063
05,107,16443,15822,15304
05,109,10172,10121,10179
05,111,22952,22730,22495
05,113,19187,19331,19337
05,115,63403,63756,64065
05,117,8246,8094,8069
05,119,399246,398069,399145
05,121,18590,18842,18837
05,123,23013,22701,22451
05,125,123815,125319,127357
05,127,9828,9795,9805
05,129,7842,7880,7918
05,131,127800,128425,129059
05,133,15779,15709,15686
05,135,17319,17660,17810
05,137,12350,12432,12575
05,139,38926,38364,37752
05,141,15801,15751,16102
05,143,246756,251692,256054
05,145,76851,77157,77755
05,147,6228,6153,6049
05,149,20214,20152,20129
06,000,39501653,39142991,39029342
06,001,1680380,1643837,1628997
06,003,1204,1235,1190
06,005,40532,41144,41412
06,007,210135,206190,207303
06,009,45346,46219,46563
06,011,21858,21913,21914
06,013,1165986,1163298,1156966
06,015,27601,27553,27082
06,017,191220,193590,192646
06,019,1009503,1012992,1015190
06,021,28896,28664,28339
06,023,136261,134836,135010
06,025,179595,179215,178713
06,027,19001,18927,18718
06,029,905828,912351,916108
06,031,152790,152679,152981
06,033,68195,68584,68191
06,035,32317,31813,29904
06,037,9992236,9811842,9721138
06,039,156343,158910,160256
06,041,261282,259162,256018
06,043,17118,17107,17020
06,045,91361,91003,89783
06,047,281814,284458,290014
06,049,8663,8571,8511
06,051,13226,13261,12978
06,053,438390,437249,432858
06,055,137485,136206,134300
06,057,102249,103457,102293
06,059,3185516,3161005,3151184
06,061,405889,412789,417772
06,063,19749,19940,19351
06,065,2422847,2453178,2473902
