STATE,COUNTY,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
01,000,4843737,4854803,4866824,4877989,4891628,4907965
01,001,54922,54903,55302,55448,55533,55769
01,003,199306,203101,207787,212737,218071,223565
01,005,26768,26300,25828,25169,24887,24657
01,007,22541,22553,22590,22532,22300,22313
01,009,57536,57535,57487,57801,57770,57840
01,011,10668,10404,10397,10181,10165,10144
01,013,20332,20168,20040,19911,19675,19501
01,015,115991,115550,115036,114746,114298,114070
01,017,33964,33991,33742,33716,33570,33244
01,019,25900,25739,25769,25822,26035,26254
01,021,43751,43693,43854,44085,44084,44313
01,023,13322,13237,13049,12923,12810,12577
01,025,24873,24711,24342,24083,23965,23651
01,027,13443,13415,13393,13355,13301,13265
01,029,15029,14923,14871,14924,15047,14952
01,031,50693,51004,51281,51943,52097,52639
01,033,54484,54439,54483,54682,54970,55241
01,035,12674,12677,12495,12431,12264,12055
01,037,11037,10935,10812,10724,10619,10677
01,039,37766,37566,37400,37077,36993,37082
01,041,13851,13851,13911,13871,13855,13811
01,043,81081,81771,82434,82830,83300,83644
01,045,49465,49428,49476,49467,49268,49294
01,047,41560,40947,40105,39263,38270,37182
01,049,70963,71065,71116,71441,71430,71506
01,051,80563,80903,81258,81452,81189,81575
01,053,37749,37676,37500,37010,36515,36569
01,055,103417,103033,102931,103076,102766,102460
01,057,16784,16711,16581,16478,16451,16279
01,059,31572,31532,31674,31670,31495,31587
01,061,26605,26645,26497,26404,26296,26309
01,063,8585,8509,8485,8312,8212,8104
01,065,15047,15016,14845,14812,14773,14669
01,067,17074,17097,17062,17105,17100,17125
01,069,104216,104326,104355,104472,104943,106240
01,071,52592,52229,52058,51865,51649,51672
01,073,660185,660717,660507,659892,659672,658539
01,075,14071,13931,13926,13885,13878,13817
01,077,93049,92524,92521,92701,92733,93028
01,079,33423,33116,33196,33035,32905,32851
01,081,154682,157162,159446,161808,164206,165015
01,083,90622,91596,92896,94144,96199,99136
01,085,10497,10350,10245,10100,9969,9726
01,087,19670,19331,19077,18828,18320,18065
01,089,349973,353194,356985,362061,367386,372547
01,091,19990,19772,19536,19411,19093,18919
01,093,30215,30137,29958,29825,29776,29826
01,095,94262,94588,95123,95589,96230,96751
01,097,414298,414654,415169,414209,414275,413516
01,099,21927,21720,21553,21294,21035,20689
01,101,227647,227420,227398,227514,226631,226074
01,103,119496,119316,119090,118940,119216,119630
01,105,9809,9650,9538,9304,9049,8940
01,107,20283,20788,20337,20224,19949,19940
01,109,33217,33518,33540,33441,33390,33034
01,111,22362,22603,22515,22702,22742,22781
01,113,59310,58946,58290,57134,57933,58098
01,115,86014,86569,87342,87985,88842,89735
01,117,206346,209047,211538,213854,215877,218176
01,119,13276,13212,12973,12756,12661,12358
01,121,81550,81168,80598,80192,80219,80226
01,123,40898,40628,40607,40624,40550,40337
01,125,203228,204953,206737,207849,208607,210321
01,127,65354,64950,64559,63929,63701,63680
01,129,16868,16831,16607,16484,16336,16279
01,131,10950,10900,10860,10704,10592,10396
01,133,24141,23929,23911,23753,23690,23700
02,000,737075,738430,742575,740983,736624,733603
02,013,3347,3373,3354,3445,3391,3355
02,016,5825,5782,5718,5760,5678,5702
02,020,300647,298337,298072,295118,291377,288790
02,050,17960,17970,18018,18102,18267,18493
02,060,949,906,906,869,881,840
02,063,6622,6526,6542,6509,6487,6509
02,066,2937,2891,2898,2887,2880,2886
02,068,1922,1940,2068,2103,2047,2125
02,070,4981,4987,4968,4934,5003,4932
02,090,99404,99812,100877,99911,98749,97088
02,100,2558,2519,2531,2526,2502,2561
02,105,2091,2126,2115,2135,2139,2144
02,110,32501,32644,32456,32106,32044,32038
02,122,57594,58075,58515,58594,58609,58914
02,130,13826,13737,13760,13874,13881,13905
02,150,13899,13760,13722,13605,13389,13209
02,158,8107,8201,8180,8247,8349,8384
02,164,1648,1597,1595,1606,1586,1583
02,170,98185,101162,104258,106426,107325,108578
02,180,9812,9901,9983,10038,10073,10040
02,185,9370,9382,9292,9401,9455,9433
02,188,7785,7787,7709,7805,7715,7673
02,195,3256,3251,3262,3284,3256,3294
02,198,6461,6508,6521,6441,6372,6211
02,220,8845,8789,8744,8640,8555,8501
02,230,1054,1090,1132,1173,1172,1193
02,240,6937,6827,6853,6918,6946,6879
02,275,2441,2452,2493,2516,2521,2513
02,282,655,637,615,610,600,576
02,290,5456,5461,5418,5400,5375,5254
04,000,6732873,6832810,6944767,7048088,7164228,7291843
04,001,71808,71026,71418,71538,71819,71920
04,003,127437,126594,125885,125048,126581,127248
04,005,137675,139100,140609,141300,142914,143967
04,007,53074,53020,53400,53619,53833,54077
04,009,38123,37888,37859,37530,38032,38890
04,011,9356,9587,9642,9451,9424,9467
04,012,20521,20476,20670,20737,21030,21257
04,013,4094842,4174423,4258019,4329227,4405306,4492261
04,015,203670,204890,205899,207668,210371,213846
04,017,107741,107695,108569,109145,110490,111037
04,019,1004521,1009490,1017083,1027115,1037746,1049261
04,021,395563,405922,417312,431490,446524,461640
04,023,46596,46493,46412,46578,46446,46728
04,025,217882,221019,224828,228398,232467,236062
04,027,204064,205187,207162,209244,211245,214182
05,000,2968759,2979732,2991815,3003855,3012161,3020985
05,001,18524,18376,18204,17925,17779,17515
05,003,20974,20856,20544,20333,20041,19742
05,005,40903,41156,41159,41319,41665,41978
05,007,244962,251759,259497,266882,272560,279835
05,009,37150,37165,37307,37531,37545,37616
05,011,11006,10999,10961,10813,10818,10792
05,013,5165,5197,5147,5196,5206,5137
05,015,27763,27777,27730,27901,28049,28352
05,017,11223,10987,10929,10655,10466,10189
05,019,22578,22536,22643,22234,22358,22365
05,021,15298,15206,15059,14859,14763,14494
05,023,25616,25384,25171,25085,25105,25019
05,025,8404,8290,8253,8177,7991,7937
05,027,24051,24118,24015,23675,23582,23496
05,029,20999,20939,20877,20821,20836,20905
05,031,102707,104509,106039,107274,109074,110772
05,033,61856,61963,62312,62982,63480,63406
05,035,49479,48972,49296,48704,48365,47924
05,037,17180,17253,17029,16792,16584,16333
